Language	Concept	Form	Tokens	SimpleCognate	PartialCognate	Morphemes	Notes	Portuguese	Semantic	Concepticon	Eol
Asurini_do_Tocantins	ABOVE	ʔarimo	ʔ a r i + m o	1.0	3 17	ABOVE THERE		EM CIMA (DE)	SPATIAL_RELATIONS	1741	
Surui_Aikewara	ABOVE	ɨwete	ɨ w e + t e	2.0	2 7	LOW DIFFERENT		EM CIMA (DE)	SPATIAL_RELATIONS	1741	
Tapirape_Apyawa	ABOVE	ʔarimo	ʔ a r i + m o	1.0	3 17	ABOVE THERE		EM CIMA (DE)	SPATIAL_RELATIONS	1741	
Tembe	ABOVE	ʔaramo	ʔ a r a + m o	1.0	3 17	ABOVE THERE		EM CIMA (DE)	SPATIAL_RELATIONS	1741	
Tembe	ABOVE	iwate	i w a + t e	2.0	2 7	LOW DIFFERENT		EM CIMA (DE)	SPATIAL_RELATIONS	1741	
Guajajara	ABOVE	ʔaromo	ʔ a r o + m o	1.0	3 17	ABOVE THERE		EM CIMA (DE)	SPATIAL_RELATIONS	1741	
Apiaka	ABOVE	iwate	i w a + t e	2.0	2 7	LOW DIFFERENT		EM CIMA (DE)	SPATIAL_RELATIONS	1741	
Parintintin	ABOVE	ʔara	ʔ a r a	1.0	3	ABOVE		EM CIMA (DE)	SPATIAL_RELATIONS	1741	
Amondawa	ABOVE	ʔarimo	ʔ a r i + m o	1.0	3 17	ABOVE THERE		EM CIMA (DE)	SPATIAL_RELATIONS	1741	
Tenharim	ABOVE	ʔara	ʔ a r a	1.0	3	ABOVE		EM CIMA (DE)	SPATIAL_RELATIONS	1741	
Urueuwauwau	ABOVE	ʔarimo	ʔ a r i + m o	1.0	3 17	ABOVE THERE		EM CIMA (DE)	SPATIAL_RELATIONS	1741	
Tupi_do_Machado_Wirafed	ABOVE	árimo	á r i + m o	1.0	3 17	ABOVE THERE		EM CIMA (DE)	SPATIAL_RELATIONS	1741	
Kayabi	ABOVE	ʔarimũ	ʔ a r i + m ũ	1.0	3 17	ABOVE THERE		EM CIMA (DE)	SPATIAL_RELATIONS	1741	
Arawete	ABOVE	uhe	u h e	3.0	4	ABOVE		EM CIMA (DE)	SPATIAL_RELATIONS	1741	
Guaja	ABOVE	ehe	e h e	3.0	4	ABOVE		EM CIMA (DE)	SPATIAL_RELATIONS	1741	
Amanaye	ABOVE	ɨwatá	ɨ w a + t á	2.0	2 7	LOW DIFFERENT		EM CIMA (DE)	SPATIAL_RELATIONS	1741	
Emerillon_Teko	ABOVE	ʔal	ʔ a l	1.0	3	ABOVE		EM CIMA (DE)	SPATIAL_RELATIONS	1741	
Emerillon_Teko	ABOVE	wate_kɨti	w a t e + k ɨ t i	2.0	2 7 34	HIGH DIRECTIVE		EM CIMA (DE)	SPATIAL_RELATIONS	1741	
Wayampi	ABOVE	alɨwo	a l ɨ + w o	1.0	3	ABOVE		EM CIMA (DE)	SPATIAL_RELATIONS	1741	
Wayampi	ABOVE	wate	w a + t e	2.0	2 7	LOW DIFFERENT		EM CIMA (DE)	SPATIAL_RELATIONS	1741	
Zo_e	ABOVE	ʔat	ʔ a t	3.0	4	ABOVE		EM CIMA (DE)	SPATIAL_RELATIONS	1741	
Zo_e	ABOVE	wate	w a + t e	2.0	2 7	LOW DIFFERENT		EM CIMA (DE)	SPATIAL_RELATIONS	1741	
Ka_apor_Urubu	ABOVE	ʔar	ʔ a r	1.0	3	ABOVE		EM CIMA (DE)	SPATIAL_RELATIONS	1741	
Anambe	ABOVE	aha	a h a	3.0	4	ABOVE		EM CIMA (DE)	SPATIAL_RELATIONS	1741	
Anambe	ABOVE	amũ	a m ũ	1.0	3	ABOVE THERE		EM CIMA (DE)	SPATIAL_RELATIONS	1741	
Turiwara	ABOVE	ɨwaterɨ	ɨ w a + t e + r ɨ	2.0	2 7	LOW DIFFERENT		EM CIMA (DE)	SPATIAL_RELATIONS	1741	
Kamajura	ABOVE	ʔarim	ʔ a r i + m	1.0	3 17	ABOVE		EM CIMA (DE)	SPATIAL_RELATIONS	1741	
Asurini_do_Xingu	ABOVE	árimo	á r i + m o	1.0	3 17	ABOVE THERE		EM CIMA (DE)	SPATIAL_RELATIONS	1741	
Ava_Canoeiro	ABOVE	ɨwati	ɨ w a + t i	2.0	2 7	ABOVE		EM CIMA (DE)	SPATIAL_RELATIONS	1741	
Tupinamba	ABOVE	ʔari	ʔ a r i	1.0	3	ABOVE		EM CIMA (DE)	SPATIAL_RELATIONS	1741	
Nheengatu	ABOVE	apira	a p i r a	537.0	33	ABOVE		EM CIMA (DE)	SPATIAL_RELATIONS	1741	
Lingua_Geral_Paulista_Tupi_austral	ABOVE	ara	a r a	1.0	3	ABOVE		EM CIMA (DE)	SPATIAL_RELATIONS	1741	
Lingua_Geral_Paulista_Tupi_austral	ABOVE	ibati	i b a + t i	2.0	2 7	LOW DIFFERENT		EM CIMA (DE)	SPATIAL_RELATIONS	1741	
Yuki	ABOVE	ibáte	i b á + t e	2.0	2 7	LOW DIFFERENT		EM CIMA (DE)	SPATIAL_RELATIONS	1741	
Guarayo	ABOVE	aramo	a r a + m o	1.0	3 17	ABOVE THERE		EM CIMA (DE)	SPATIAL_RELATIONS	1741	
Guarayo	ABOVE	arɨve	a r ɨ + v e	1.0	3 17	ABOVE		EM CIMA (DE)	SPATIAL_RELATIONS	1741	
Siriono	ABOVE	ibate	i b a + t e	2.0	2 7	LOW DIFFERENT		EM CIMA (DE)	SPATIAL_RELATIONS	1741	
Warazu_Pauserna	ABOVE	iwate	i w a + t e	2.0	2 7	LOW DIFFERENT		EM CIMA (DE)	SPATIAL_RELATIONS	1741	
Chiriguano	ABOVE	ɨwati	ɨ w a + t i	2.0	2 7	LOW DIFFERENT		EM CIMA (DE)	SPATIAL_RELATIONS	1741	
Mbya	ABOVE	arõ	a r õ	1.0	3	ABOVE		EM CIMA (DE)	SPATIAL_RELATIONS	1741	
Mbya	ABOVE	arɨ	a r ɨ	1.0	3	ABOVE		EM CIMA (DE)	SPATIAL_RELATIONS	1741	
Guarani_Paraguay	ABOVE	ʔári	ʔ á r i	1.0	3	ABOVE		EM CIMA (DE)	SPATIAL_RELATIONS	1741	
Old_Guarani	ABOVE	ɨβate	ɨ β a + t e	2.0	2 7	LOW DIFFERENT		EM CIMA (DE)	SPATIAL_RELATIONS	1741	
Kaiowa	ABOVE	ári	á r i	1.0	3	ABOVE		EM CIMA (DE)	SPATIAL_RELATIONS	1741	
Tapiete	ABOVE	wate	w a + t e	2.0	2 7	LOW DIFFERENT		EM CIMA (DE)	SPATIAL_RELATIONS	1741	
Chiripa_Nandeva_Ava_Guarani	ABOVE	ʔarɨ	ʔ a r ɨ	1.0	3	ABOVE		EM CIMA (DE)	SPATIAL_RELATIONS	1741	
Omagua	ABOVE	ɨwati	ɨ w a + t i	2.0	2 7	LOW DIFFERENT		EM CIMA (DE)	SPATIAL_RELATIONS	1741	
Cocama_Cocamilla	ABOVE	arɨwa	a r ɨ + w a	1.0	2 17	ABOVE		EM CIMA (DE)	SPATIAL_RELATIONS	1741	
Nheengatu	ABOVE	ararupi	a r a + r u p i	1.0	3 35	ABOVE _POSTPOSITION		EM CIMA (DE)	SPATIAL_RELATIONS	1741	
Guayaki_Ache	ABOVE	jabu	j a + b u	2008.0	278 279	DEMONSTRATIVE _CONDITIONAL		EM CIMA (DE)	SPATIAL_RELATIONS	1741	
Satere_Mawe	ABOVE	upi	u p i	1.0	35	ABOVE		EM CIMA (DE)	SPATIAL_RELATIONS	1741	
Old_Guarani	ABOVE	ʔar	ʔ a r	1.0	3	ABOVE		EM CIMA (DE)	SPATIAL_RELATIONS	1741	
Old_Guarani	ABOVE	osé	o s é	2822.0	533	ABOVE		EM CIMA (DE)	SPATIAL_RELATIONS	1741	
Old_Guarani	ABOVE	osepe	o s + e p e	2822.0	533 534	ABOVE		EM CIMA (DE)	SPATIAL_RELATIONS	1741	
Karo_Arara	AFTER	kanə̃j̃	k a n ə̃ j̃	18.0	72	AFTER		DEPOIS (DE)	SPATIAL_RELATIONS	1685	
Wayoro	AFTER	karemõ	k a r e m õ	8.0	65	AFTER		DEPOIS (DE)	SPATIAL_RELATIONS	1685	
Tupari	AFTER	pe	p e	12.0	70	AFTER		DEPOIS (DE)	SPATIAL_RELATIONS	1685	
Akuntsu	AFTER	erape	e r a + p e	8.0	65	AFTER LOC		DEPOIS (DE)	SPATIAL_RELATIONS	1685	
Mekens_Sakurabiat	AFTER	kikitú	k i k i t ú/u	9.0	68	AFTER		DEPOIS (DE)	SPATIAL_RELATIONS	1685	
Gaviao_Ikoloehj	AFTER	pí	p í	12.0	70	AFTER		DEPOIS (DE)	SPATIAL_RELATIONS	1685	
Gaviao_Ikoloehj	AFTER	abi	a b i	12.0	70	AFTER		DEPOIS (DE)	SPATIAL_RELATIONS	1685	
Karitiana	AFTER	amɨk	a m ɨ k	10.0	66	AFTER		DEPOIS (DE)	SPATIAL_RELATIONS	1685	
Karitiana	AFTER	mãsog	m ã s o g	16.0	76	AFTER		DEPOIS (DE)	SPATIAL_RELATIONS	1685	
Karitiana	AFTER	mõrasõg	m õ r a s õ g	16.0	76	AFTER		DEPOIS (DE)	SPATIAL_RELATIONS	1685	
Karitiana	AFTER	mɨɨ	m ɨː	10.0	66	AFTER		DEPOIS (DE)	SPATIAL_RELATIONS	1685	
Xipaya	AFTER	táde	t á d e	11.0	71	AFTER		DEPOIS (DE)	SPATIAL_RELATIONS	1685	
Juruna_Yudja	AFTER	táde	t á/a d e	11.0	71	AFTER		DEPOIS (DE)	SPATIAL_RELATIONS	1685	
Juruna_Yudja	AFTER	duháhé	d u h á/a h é/e	11.0	71	AFTER		DEPOIS (DE)	SPATIAL_RELATIONS	1685	
Juruna_Yudja	AFTER	tʃihé	tʃ i h é/e	11.0	71	AFTER		DEPOIS (DE)	SPATIAL_RELATIONS	1685	
Munduruku	AFTER	ŋəjdʒom	ŋ ə j dʒ o m	9.0	68	AFTER		DEPOIS (DE)	SPATIAL_RELATIONS	1685	
Munduruku	AFTER	ŋebədʒe	ŋ e b ə + dʒ e	9.0	68	? FUTURO		DEPOIS (DE)	SPATIAL_RELATIONS	1685	
Satere_Mawe	AFTER	hawɨj	h a w ɨ j	13.0	74	AFTER		DEPOIS (DE)	SPATIAL_RELATIONS	1685	
Satere_Mawe	AFTER	ẽ	ẽ	20.0	77	AFTER		DEPOIS (DE)	SPATIAL_RELATIONS	1685	
Parakana	AFTER	ʃowe	ʃ o w e	13.0	74	AFTER		DEPOIS (DE)	SPATIAL_RELATIONS	1685	
Tapirape_Apyawa	AFTER	ãʔẽre	ã ʔ ẽ r e	8.0	65	AFTER		DEPOIS (DE)	SPATIAL_RELATIONS	1685	
Tapirape_Apyawa	AFTER	ire	i r e	8.0	65	AFTER		DEPOIS (DE)	SPATIAL_RELATIONS	1685	
Tapirape_Apyawa	AFTER	rewe	r e w e	8.0	65	AFTER		DEPOIS (DE)	SPATIAL_RELATIONS	1685	
Tembe	AFTER	re	r e	8.0	65	AFTER		DEPOIS (DE)	SPATIAL_RELATIONS	1685	
Tembe	AFTER	rire	r i r e	8.0	65	AFTER		DEPOIS (DE)	SPATIAL_RELATIONS	1685	
Guajajara	AFTER	ire	i r e	8.0	65	AFTER		DEPOIS (DE)	SPATIAL_RELATIONS	1685	
Apiaka	AFTER	re	r e	8.0	65	AFTER		DEPOIS (DE)	SPATIAL_RELATIONS	1685	
Parintintin	AFTER	aẽre	a ẽ r e	8.0	65	AFTER		DEPOIS (DE)	SPATIAL_RELATIONS	1685	
Parintintin	AFTER	re	r e	8.0	65	AFTER		DEPOIS (DE)	SPATIAL_RELATIONS	1685	
Amondawa	AFTER	aẽre	a ẽ r e	8.0	65	AFTER		DEPOIS (DE)	SPATIAL_RELATIONS	1685	
Amondawa	AFTER	re	r e	8.0	65	AFTER		DEPOIS (DE)	SPATIAL_RELATIONS	1685	
Tenharim	AFTER	aẽre	a ẽ r e	8.0	65	AFTER		DEPOIS (DE)	SPATIAL_RELATIONS	1685	
Tenharim	AFTER	re	r e	8.0	65	AFTER		DEPOIS (DE)	SPATIAL_RELATIONS	1685	
Urueuwauwau	AFTER	aẽre	a ẽ r e	8.0	65	AFTER		DEPOIS (DE)	SPATIAL_RELATIONS	1685	
Urueuwauwau	AFTER	re	r e	8.0	65	AFTER		DEPOIS (DE)	SPATIAL_RELATIONS	1685	
Kayabi	AFTER	ewiri	e w i r i	8.0	65	AFTER		DEPOIS (DE)	SPATIAL_RELATIONS	1685	
Kayabi	AFTER	ire	i r e	8.0	65	AFTER		DEPOIS (DE)	SPATIAL_RELATIONS	1685	
Arawete	AFTER	riri	r i r i	8.0	65	AFTER		DEPOIS (DE)	SPATIAL_RELATIONS	1685	
Emerillon_Teko	AFTER	kor	k o r	14.0	69	AFTER		DEPOIS (DE)	SPATIAL_RELATIONS	1685	
Emerillon_Teko	AFTER	kobete	k o b e t e	9.0	68	AFTER		DEPOIS (DE)	SPATIAL_RELATIONS	1685	
Wayampi	AFTER	ajawire	a j a w i r e	8.0	65	AFTER		DEPOIS (DE)	SPATIAL_RELATIONS	1685	
Wayampi	AFTER	lile	l i l e	8.0	65	AFTER		DEPOIS (DE)	SPATIAL_RELATIONS	1685	
Zo_e	AFTER	kɨpot	k ɨ p o t	9.0	68	AFTER		DEPOIS (DE)	SPATIAL_RELATIONS	1685	
Ka_apor_Urubu	AFTER	arahã	a r a h ã	8.0	65	AFTER		DEPOIS (DE)	SPATIAL_RELATIONS	1685	
Ka_apor_Urubu	AFTER	aja	a j a	8.0	65	AFTER		DEPOIS (DE)	SPATIAL_RELATIONS	1685	
Ka_apor_Urubu	AFTER	ajameʔẽ	a j a  m e ʔ ẽ	55.0	65 16	_? GIVE		DEPOIS (DE)	SPATIAL_RELATIONS	1685	
Kamajura	AFTER	riré	r i r é/e	8.0	65	AFTER		DEPOIS (DE)	SPATIAL_RELATIONS	1685	
Asurini_do_Xingu	AFTER	arire	a r i r e	8.0	65	AFTER		DEPOIS (DE)	SPATIAL_RELATIONS	1685	
Tupinamba	AFTER	riré	r i r é/e	8.0	65	AFTER		DEPOIS (DE)	SPATIAL_RELATIONS	1685	
Tupinamba	AFTER	rojré	r oi r é/e	8.0	65	AFTER		DEPOIS (DE)	SPATIAL_RELATIONS	1685	
Tupinamba	AFTER	re	r e	8.0	65	AFTER		DEPOIS (DE)	SPATIAL_RELATIONS	1685	
Nheengatu	AFTER	rie	r ie	8.0	65	AFTER		DEPOIS (DE)	SPATIAL_RELATIONS	1685	
Nheengatu	AFTER	arirewã	a r i r e w ã	8.0	65	AFTER		DEPOIS (DE)	SPATIAL_RELATIONS	1685	
Yuki	AFTER	dérekja	d é r e k j a	19.0	75	AFTER		DEPOIS (DE)	SPATIAL_RELATIONS	1685	
Guarayo	AFTER	re	r e	8.0	65	AFTER		DEPOIS (DE)	SPATIAL_RELATIONS	1685	
Siriono	AFTER	akere	a k e r e	8.0	65	AFTER		DEPOIS (DE)	SPATIAL_RELATIONS	1685	
Siriono	AFTER	ande	a nd/ⁿd e	11.0	71	AFTER		DEPOIS (DE)	SPATIAL_RELATIONS	1685	
Warazu_Pauserna	AFTER	íre	í/i r e	8.0	65	AFTER		DEPOIS (DE)	SPATIAL_RELATIONS	1685	
Chiriguano	AFTER	hãe-ma	h ãe + m a	10.0	66 67	AFTER _after		DEPOIS (DE)	SPATIAL_RELATIONS	1685	
Chiriguano	AFTER	ha-woi	h a + w oi	10.0	66 74	AFTER _after		DEPOIS (DE)	SPATIAL_RELATIONS	1685	
Chiriguano	AFTER	hoko-gwi	h o k o + gw/gʷ i	10.0	66 69	AFTER _after		DEPOIS (DE)	SPATIAL_RELATIONS	1685	
Mbya	AFTER	rire	r i r e	8.0	65	AFTER		DEPOIS (DE)	SPATIAL_RELATIONS	1685	
Guarani_Paraguay	AFTER	riré	r i r é/e	8.0	65	AFTER		DEPOIS (DE)	SPATIAL_RELATIONS	1685	
Old_Guarani	AFTER	riré	r i r é/e	8.0	65	AFTER		DEPOIS (DE)	SPATIAL_RELATIONS	1685	
Xeta	AFTER	ajre	ai r e	8.0	65	AFTER		DEPOIS (DE)	SPATIAL_RELATIONS	1685	
Kaiowa	AFTER	riré	r i r é/e	8.0	65	AFTER		DEPOIS (DE)	SPATIAL_RELATIONS	1685	
Tapiete	AFTER	hama	h a m a	10.0	66	AFTER		DEPOIS (DE)	SPATIAL_RELATIONS	1685	
Tapiete	AFTER	ma	m a	10.0	66	AFTER		DEPOIS (DE)	SPATIAL_RELATIONS	1685	
Omagua	AFTER	isakapɨrɨ	i s a k a p ɨ r ɨ	15.0	73	AFTER	Woman's speech	DEPOIS (DE)	SPATIAL_RELATIONS	1685	
Omagua	AFTER	rasakapɨrɨ	r a s a k a p ɨ r ɨ	15.0	73	AFTER	Man's speech	DEPOIS (DE)	SPATIAL_RELATIONS	1685	
Cocama_Cocamilla	AFTER	jantsui	j a n ts ui	9.0	68	AFTER	Woman's speech	DEPOIS (DE)	SPATIAL_RELATIONS	1685	
Cocama_Cocamilla	AFTER	jaepetsui	j ae p e ts ui	9.0	68	AFTER	Woman's speech	DEPOIS (DE)	SPATIAL_RELATIONS	1685	
Cocama_Cocamilla	AFTER	riantsui	r ia n ts ui	9.0	68	AFTER	Man's speech	DEPOIS (DE)	SPATIAL_RELATIONS	1685	
Cocama_Cocamilla	AFTER	_raepetsui	r ae p e ts ui	9.0	68	AFTER	Man's speech	DEPOIS (DE)	SPATIAL_RELATIONS	1685	
Guayaki_Ache	AFTER	gobu	g o + b u	2013.0	280 281	AFTER _CONDITIONAL		DEPOIS (DE)	SPATIAL_RELATIONS	1685	
Guaja	AFTER	nẽ	n ẽ	8.0	334	AFTER		DEPOIS (DE)	SPATIAL_RELATIONS	1685	
Aweti	AFTER	tiwo	t i w o	2855.0	599	AFTER		DEPOIS (DE)	SPATIAL_RELATIONS	1685	
Cinta_Larga	AFTER	jappi	j a p p i	12.0	70	AFTER		DEPOIS (DE)	SPATIAL_RELATIONS	1685	
Aweti	AFTER	antiwari	a n t i w a r i	2855.0	599	AFTER		DEPOIS (DE)	SPATIAL_RELATIONS	1685	
Karo_Arara	AGOUTI	wakãja	w a k ã j a	821.0	86	AGOUTI		CUTIA	ANIMALS	313	42029
Purubora	AGOUTI	βakĩĩ	β a k ĩː	821.0	86	AGOUTI		CUTIA	ANIMALS	313	42029
Ntogapid_Itogapuk	AGOUTI	mãkaiã	m ã k ai ã	821.0	86	AGOUTI		CUTIA	ANIMALS	313	42029
Ramarama	AGOUTI	mãkaiã	m ã k ai ã	821.0	86	AGOUTI		CUTIA	ANIMALS	313	42029
Makurap	AGOUTI	mãkɨ̃ja	m ã k ɨ̃ + j a	821.0	86 150	AGOUTI TOOTH		CUTIA	ANIMALS	313	42029
Wayoro	AGOUTI	ŋgʷakĩjã	ŋgʷ a k ĩ + j ã	874.0	86 150	AGOUTI TOOTH		CUTIA	ANIMALS	313	42029
Tupari	AGOUTI	takamʔa	t a k a m ʔ a	828.0	87	AGOUTI		CUTIA	ANIMALS	313	42029
Akuntsu	AGOUTI	pakãja	p a k ã + j a	821.0	86 150	AGOUTI TOOTH		CUTIA	ANIMALS	313	42029
Mekens_Sakurabiat	AGOUTI	mãkɨ̃ja	m ã k ɨ̃ + j a	821.0	86 150	AGOUTI TOOTH		CUTIA	ANIMALS	313	42029
Cinta_Larga	AGOUTI	wakí	w a k í	821.0	86	AGOUTI		CUTIA	ANIMALS	313	42029
Gaviao_Ikoloehj	AGOUTI	βaakĩĩ	β aː k ĩː	821.0	86	AGOUTI		CUTIA	ANIMALS	313	42029
Arua	AGOUTI	βakĩĩ	β a k ĩː	821.0	86	AGOUTI		CUTIA	ANIMALS	313	42029
Matanau	AGOUTI	wakɨ̃	w a k ɨ̃	821.0	86	AGOUTI		CUTIA	ANIMALS	313	42029
Zoro	AGOUTI	βakĩĩ	β a k ĩː	821.0	86	AGOUTI		CUTIA	ANIMALS	313	42029
Surui_Paiter	AGOUTI	wakĩĩ	w a k ĩː	821.0	143	AGOUTI		CUTIA	ANIMALS	313	42029
Karitiana	AGOUTI	mɨ̃no	m ɨ̃ n o	911.0	90	AGOUTI		CUTIA	ANIMALS	313	42029
Arikem	AGOUTI	mundá	m u nd á	21.0	143	AGOUTI		CUTIA	ANIMALS	313	42029
Xipaya	AGOUTI	kuzi	k u z i	21.0	143	AGOUTI		CUTIA	ANIMALS	313	42029
Juruna_Yudja	AGOUTI	akulʒi	a k u l ʒ i	21.0	143	AGOUTI		CUTIA	ANIMALS	313	42029
Munduruku	AGOUTI	mədí	m ə d í	900.0	89	AGOUTI		CUTIA	ANIMALS	313	42029
Kuruaya	AGOUTI	máli	m á l i	900.0	89	AGOUTI		CUTIA	ANIMALS	313	42029
Satere_Mawe	AGOUTI	akuri	a k u r i	21.0	143	AGOUTI		CUTIA	ANIMALS	313	42029
Aweti	AGOUTI	akuʐuʔjɨt	a k u ʐ u ʔ j ɨ t	21.0	143	AGOUTI		CUTIA	ANIMALS	313	42029
Parakana	AGOUTI	akoʃi	a k o ʃ i	21.0	143	AGOUTI		CUTIA	ANIMALS	313	42029
Surui_Aikewara	AGOUTI	akuti	a k u t i	21.0	143	AGOUTI		CUTIA	ANIMALS	313	42029
Tapirape_Apyawa	AGOUTI	ãkoʃi	ã k o ʃ i	21.0	143	AGOUTI		CUTIA	ANIMALS	313	42029
Tembe	AGOUTI	akuti	a k u t i	21.0	143	AGOUTI		CUTIA	ANIMALS	313	42029
Guajajara	AGOUTI	akuʃi	a k u ʃ i	21.0	143	AGOUTI		CUTIA	ANIMALS	313	42029
Apiaka	AGOUTI	akuʃi	a k u ʃ i	21.0	143	AGOUTI		CUTIA	ANIMALS	313	42029
Parintintin	AGOUTI	akutia	a k u t ia	21.0	143	AGOUTI		CUTIA	ANIMALS	313	42029
Amondawa	AGOUTI	akotʃi	a k o tʃ i	21.0	143	AGOUTI		CUTIA	ANIMALS	313	42029
Tenharim	AGOUTI	akotihu	a k o t i h u	21.0	143	AGOUTI		CUTIA	ANIMALS	313	42029
Jiahoi	AGOUTI	akotihu	a k o t i h u	21.0	143	AGOUTI		CUTIA	ANIMALS	313	42029
Urueuwauwau	AGOUTI	akutia	a k u t ia	21.0	143	AGOUTI		CUTIA	ANIMALS	313	42029
Kayabi	AGOUTI	akutia	a k u t ia	21.0	143	AGOUTI		CUTIA	ANIMALS	313	42029
Arawete	AGOUTI	akuti	a k u t i	21.0	143	AGOUTI		CUTIA	ANIMALS	313	42029
Guaja	AGOUTI	akʷiʃi	a kʷ i ʃ i	21.0	143	AGOUTI		CUTIA	ANIMALS	313	42029
Emerillon_Teko	AGOUTI	akusi	a k u s i	21.0	143	AGOUTI		CUTIA	ANIMALS	313	42029
Wayampi	AGOUTI	akusi	a k u s i	21.0	143	AGOUTI		CUTIA	ANIMALS	313	42029
Zo_e	AGOUTI	kusi	k u s i	21.0	143	AGOUTI		CUTIA	ANIMALS	313	42029
Ka_apor_Urubu	AGOUTI	akuʃi	a k u ʃ i	21.0	143	AGOUTI		CUTIA	ANIMALS	313	42029
Ka_apor_Urubu	AGOUTI	akuti	a k u t i	21.0	143	AGOUTI		CUTIA	ANIMALS	313	42029
Anambe	AGOUTI	kararuhu	k a r a r u h u	22.0	144	AGOUTI		CUTIA	ANIMALS	313	42029
Kamajura	AGOUTI	akutsi	a k u ts i	21.0	143	AGOUTI		CUTIA	ANIMALS	313	42029
Asurini_do_Xingu	AGOUTI	merĩ	m e r ĩ	21.0	143	AGOUTI		CUTIA	ANIMALS	313	42029
Ava_Canoeiro	AGOUTI	akuti	a k u t i	21.0	143	AGOUTI		CUTIA	ANIMALS	313	42029
Tupinamba	AGOUTI	akuti	a k u t i	21.0	143	AGOUTI		CUTIA	ANIMALS	313	42029
Nheengatu	AGOUTI	akuti	a k u t i	21.0	143	AGOUTI		CUTIA	ANIMALS	313	42029
Guarayo	AGOUTI	akutʃi	a k u tʃ i	21.0	143	AGOUTI		CUTIA	ANIMALS	313	42029
Siriono	AGOUTI	itajku	i t a j k u	23.0	145	AGOUTI		CUTIA	ANIMALS	313	42029
Warazu_Pauserna	AGOUTI	akutsɨ	a k u ts ɨ	21.0	143	AGOUTI		CUTIA	ANIMALS	313	42029
Chiriguano	AGOUTI	akúti	a k ú t i	21.0	143	AGOUTI		CUTIA	ANIMALS	313	42029
Jora	AGOUTI	kuʃi	k u ʃ i	21.0	143	AGOUTI		CUTIA	ANIMALS	313	42029
Mbya	AGOUTI	akuʃi	a k u ʃ i	21.0	143	AGOUTI		CUTIA	ANIMALS	313	42029
Guarani_Paraguay	AGOUTI	akuti	a k u t i	21.0	143	AGOUTI		CUTIA	ANIMALS	313	42029
Old_Guarani	AGOUTI	akuti	a k u t i	21.0	143	AGOUTI		CUTIA	ANIMALS	313	42029
Xeta	AGOUTI	tʃeami	tʃ ea m i	24.0	146	AGOUTI		CUTIA	ANIMALS	313	42029
Kaiowa	AGOUTI	akutɨ	a k u t ɨ	21.0	143	AGOUTI		CUTIA	ANIMALS	313	42029
Omagua	AGOUTI	akuti	a k u t i	21.0	143	AGOUTI		CUTIA	ANIMALS	313	42029
Cocama_Cocamilla	AGOUTI	akuti	a k u t i	21.0	143	AGOUTI		CUTIA	ANIMALS	313	42029
Asurini_do_Tocantins	AGOUTI	akosí	a k o s í	21.0	143	AGOUTI		CUTIA	ANIMALS	313	42029
Karo_Arara	ALL	tamək	t a m ə k	27.0	210	ALL		TODOS / TUDO	QUANTITY	98	
Karo_Arara	ALL	jakatɨɨm	j a k a t ɨː m	26.0	206	ALL		TODOS / TUDO	QUANTITY	98	
Purubora	ALL	wuijaba	w ui j a b a	25.0	205	ALL		TODOS / TUDO	QUANTITY	98	
