ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	ALIGNMENT	COGID	COGIDS	MORPHEMES	COGNACY	NOTE
14875	Guarayo	ABOVE	aramo / arɨve	aramo	a r a + m o	- a r a + m - o - -	1	3 17	ABOVE THERE	emcimade	
14876	Guarayo	ABOVE	aramo / arɨve	arɨve	a r ɨ + v e	- a r ɨ + v - e - -	1	3 17	ABOVE	emcimade	
15182	Siriono	ABOVE	ibate	ibate	i b a + t e	- i b a - + t e	2	2 7	LOW DIFFERENT	emcimade3	
15511	Warazu_Pauserna	ABOVE	iwate	iwate	i w a + t e	- i w a - + t e	2	2 7	LOW DIFFERENT	emcimade3	
15754	Chiriguano	ABOVE	ɨwati	ɨwati	ɨ w a + t i	- ɨ w a - + t i	2	2 7	LOW DIFFERENT	emcimade3	
16131	Mbya	ABOVE	arõ / arɨ	arõ	a r õ	- a r õ	1	3	ABOVE	emcimade2	
16132	Mbya	ABOVE	arõ / arɨ	arɨ	a r ɨ	- a r ɨ	1	3	ABOVE	emcimade2	
16491	Guarani_Paraguay	ABOVE	ʔári	ʔári	ʔ á r i	ʔ á r i	1	3	ABOVE	emcimade2	
16824	Old_Guarani	ABOVE	ɨβate	ɨβate	ɨ β a + t e	- ɨ β a - + t e	2	2 7	LOW DIFFERENT	emcimade3	
17630	Kaiowa	ABOVE	ári	ári	á r i	- á r i	1	3	ABOVE	emcimade2	
17846	Tapiete	ABOVE	wate	wate	w a + t e	- - w a - + t e	2	2 7	LOW DIFFERENT	emcimade3	
18180	Chiripa_Nandeva_Ava_Guarani	ABOVE	ʔarɨ	ʔarɨ	ʔ a r ɨ	ʔ a r ɨ	1	3	ABOVE	emcimade2	
18361	Omagua	ABOVE	ɨwati	ɨwati	ɨ w a + t i	- ɨ w a - + t i	2	2 7	LOW DIFFERENT	emcimade3	
18641	Cocama_Cocamilla	ABOVE	arɨwa	arɨwa	a r ɨ + w a	- a r ɨ - + w - a - -	1	2 17	ABOVE	emcimade2	
19074	Nheengatu	ABOVE	ararupi	ararupi	a r a + r u p i	- a r a + r u p i	1	3 35	ABOVE _POSTPOSITION		
19480	Guayaki_Ache	ABOVE	jabu	jabu	j a + b u	j a + b u	2008	278 279	DEMONSTRATIVE _CONDITIONAL		
20388	Satere_Mawe	ABOVE	upi	upi	u p i	u p i	1	35	ABOVE		
20449	Old_Guarani	ABOVE	ʔar	ʔar	ʔ a r	ʔ a r	1	3	ABOVE		
20479	Old_Guarani	ABOVE	osé	osé	o s é	o s é	2822	533	ABOVE		
20482	Old_Guarani	ABOVE	osepe	osepe	o s + e p e	o s + e p e	2822	533 534	ABOVE		
2	Karo_Arara	AFTER	kanə̃j̃	kanə̃j̃	k a n ə̃ j̃	k a n ə̃ j̃	18	72	AFTER	depoisde	
1160	Wayoro	AFTER	karemõ	karemõ	k a r e m õ	- - - k - a r e m õ	8	65	AFTER	depoisde	
1480	Tupari	AFTER	pe	pe	p e	- p e	12	70	AFTER	depoisde	
1870	Akuntsu	AFTER	erape	erape	e r a + p e	- - - - - e r a - - + p e - - - - -	8	65	AFTER LOC	depoisde	
2251	Mekens_Sakurabiat	AFTER	kikitú	kikitú	k i k i t ú/u	- k i k i t ú/u -	9	68	AFTER	depoisde	
2708	Gaviao_Ikoloehj	AFTER	pí / abi	pí	p í	- p í	12	70	AFTER	depoisde	
2709	Gaviao_Ikoloehj	AFTER	pí / abi	abi	a b i	a b i	12	70	AFTER	depoisde	
4225	Karitiana	AFTER	amɨk / mãsog / mõrasõg / mɨɨ	amɨk	a m ɨ k	- a m ɨ k	10	66	AFTER	depoisde	
4226	Karitiana	AFTER	amɨk / mãsog / mõrasõg / mɨɨ	mãsog	m ã s o g	m ã - - s o g	16	76	AFTER	depoisde	
4227	Karitiana	AFTER	amɨk / mãsog / mõrasõg / mɨɨ	mõrasõg	m õ r a s õ g	m õ r a s õ g	16	76	AFTER	depoisde	
4228	Karitiana	AFTER	amɨk / mãsog / mõrasõg / mɨɨ	mɨɨ	m ɨː	- - m ɨː -	10	66	AFTER	depoisde	
4689	Xipaya	AFTER	táde	táde	t á d e	t á d e - -	11	71	AFTER	depoisde7	
5019	Juruna_Yudja	AFTER	táde / duháhé / tʃihé	táde	t á/a d e	t á/a d e - -	11	71	AFTER	depoisde7	
5020	Juruna_Yudja	AFTER	táde / duháhé / tʃihé	duháhé	d u h á/a h é/e	d u h á/a h é/e	11	71	AFTER	depoisde7	
5021	Juruna_Yudja	AFTER	táde / duháhé / tʃihé	tʃihé	tʃ i h é/e	tʃ i h é/e - -	11	71	AFTER	depoisde7	
5352	Munduruku	AFTER	ŋəjdʒom / ŋebədʒe	ŋəjdʒom	ŋ ə j dʒ o m	- ŋ ə j - dʒ o m	9	68	AFTER	depoisde	
5353	Munduruku	AFTER	ŋəjdʒom / ŋebədʒe	ŋebədʒe	ŋ e b ə + dʒ e	ŋ e b ə + dʒ e	9	68	? FUTURO	depoisde	
6036	Satere_Mawe	AFTER	hawɨj / ẽ	hawɨj	h a w ɨ j	h a w ɨ j	13	74	AFTER	depoisde5	
6037	Satere_Mawe	AFTER	hawɨj / ẽ	ẽ	ẽ	ẽ	20	77	AFTER	depoisde5	
6706	Parakana	AFTER	ʃowe	ʃowe	ʃ o w e	ʃ o w e -	13	74	AFTER	depoisde5	
7627	Tapirape_Apyawa	AFTER	ãʔẽre / -ire / rewe	ãʔẽre	ã ʔ ẽ r e	- - - ã ʔ ẽ r e - -	8	65	AFTER	depoisde1	
7628	Tapirape_Apyawa	AFTER	ãʔẽre / -ire / rewe	ire	i r e	- - - - - i r e - -	8	65	AFTER	depoisde1	
7629	Tapirape_Apyawa	AFTER	ãʔẽre / -ire / rewe	rewe	r e w e	- - - - - - r e w e	8	65	AFTER	depoisde1	
7899	Tembe	AFTER	re / rire	re	r e	- - - - - - r e - -	8	65	AFTER	depoisde1	
7900	Tembe	AFTER	re / rire	rire	r i r e	- - - - r i r e - -	8	65	AFTER	depoisde1	
8232	Guajajara	AFTER	ire	ire	i r e	- - - - - i r e - -	8	65	AFTER	depoisde1	
8568	Apiaka	AFTER	re	re	r e	- - - - - - r e - -	8	65	AFTER	depoisde1	
8816	Parintintin	AFTER	aẽre / re	aẽre	a ẽ r e	- - - a - ẽ r e - -	8	65	AFTER	depoisde1	
8817	Parintintin	AFTER	aẽre / re	re	r e	- - - - - - r e - -	8	65	AFTER	depoisde1	
9182	Amondawa	AFTER	aẽre / re	aẽre	a ẽ r e	- - - a - ẽ r e - -	8	65	AFTER	depoisde1	
9183	Amondawa	AFTER	aẽre / re	re	r e	- - - - - - r e - -	8	65	AFTER	depoisde1	
9483	Tenharim	AFTER	aẽre / re	aẽre	a ẽ r e	- - - a - ẽ r e - -	8	65	AFTER	depoisde1	
9484	Tenharim	AFTER	aẽre / re	re	r e	- - - - - - r e - -	8	65	AFTER	depoisde1	
9948	Urueuwauwau	AFTER	aẽre / re	aẽre	a ẽ r e	- - - a - ẽ r e - -	8	65	AFTER	depoisde1	
9949	Urueuwauwau	AFTER	aẽre / re	re	r e	- - - - - - r e - -	8	65	AFTER	depoisde1	
10298	Kayabi	AFTER	ewiri / ire	ewiri	e w i r i	- - - e w i r i - -	8	65	AFTER	depoisde1	
10299	Kayabi	AFTER	ewiri / ire	ire	i r e	- - - - - i r e - -	8	65	AFTER	depoisde1	
10532	Arawete	AFTER	riri	riri	r i r i	- - - - r i r i - -	8	65	AFTER	depoisde1	
11245	Emerillon_Teko	AFTER	kor / kobete	kor	k o r	k o r	14	69	AFTER	depoisde4	
11246	Emerillon_Teko	AFTER	kor / kobete	kobete	k o b e t e	- k o b e t e -	9	68	AFTER	depoisde4	
11616	Wayampi	AFTER	ajawire / lile	ajawire	a j a w i r e	a j a w - i r e - -	8	65	AFTER	depoisde1	
11617	Wayampi	AFTER	ajawire / lile	lile	l i l e	- - - - l i l e - -	8	65	AFTER	depoisde1	
12021	Zo_e	AFTER	 (te)kɨpot	kɨpot	k ɨ p o t	- k ɨ p o t - -	9	68	AFTER	depoisde	
12261	Ka_apor_Urubu	AFTER	arahã / aja / ajameʔẽ	arahã	a r a h ã	- - - - - a r a h ã	8	65	AFTER	depoisde	
12262	Ka_apor_Urubu	AFTER	arahã / aja / ajameʔẽ	aja	a j a	a j a - - - - - - -	8	65	AFTER	depoisde	
12263	Ka_apor_Urubu	AFTER	arahã / aja / ajameʔẽ	ajameʔẽ	a j a  m e ʔ ẽ	a j a - - - - - - -	55	65 16	_? GIVE	depoisde	
12853	Kamajura	AFTER	riré	riré	r i r é/e	- - - - r i r é/e - -	8	65	AFTER	depoisde1	
13130	Asurini_do_Xingu	AFTER	arire	arire	a r i r e	- - a - r i r e - -	8	65	AFTER	depoisde1	
13610	Tupinamba	AFTER	riré / rojré / re	riré	r i r é/e	- - - - r i r é/e - -	8	65	AFTER	depoisde1	
13611	Tupinamba	AFTER	riré / roiré / re	rojré	r oi r é/e	- - - - r oi r é/e - -	8	65	AFTER	depoisde1	
13612	Tupinamba	AFTER	riré / rojré / re	re	r e	- - - - - - r e - -	8	65	AFTER	depoisde1	
14017	Nheengatu	AFTER	rie / arirewã	rie	r ie	- - - - - - r ie - -	8	65	AFTER	depoisde1	
14018	Nheengatu	AFTER	rie / arirewã	arirewã	a r i r e w ã	- - - a r i r e w ã	8	65	AFTER	depoisde1	
14633	Yuki	AFTER	dérekja	dérekja	d é r e k j a	d é r e k j a	19	75	AFTER	depoisde3	
14877	Guarayo	AFTER	re	re	r e	- - - - - - r e - -	8	65	AFTER	depoisde1	
15183	Siriono	AFTER	akere / ande	akere	a k e r e	- a k e - - r e - -	8	65	AFTER	depoisde	
15184	Siriono	AFTER	akere / ande	ande	a nd/ⁿd e	- a nd/ⁿd e - -	11	71	AFTER	depoisde	
15512	Warazu_Pauserna	AFTER	íre	íre	í/i r e	- - - - - í/i r e - -	8	65	AFTER	depoisde1	
15755	Chiriguano	AFTER	hãe-ma / ha-woj / hoko-gwi	hãe-ma	h ãe + m a	h ãe - - - + m a	10	66 67	AFTER _after	depoisde2	
15756	Chiriguano	AFTER	hãe-ma / ha-woi / hoko-gwi	ha-woi	h a + w oi	h a + w oi	10	66 74	AFTER _after	depoisde2	
15757	Chiriguano	AFTER	hãe-ma / ha-woj / hoko-gwi	hoko-gwi	h o k o + gw/gʷ i	h o k o - + gw/gʷ i -	10	66 69	AFTER _after	depoisde2	
16133	Mbya	AFTER	rire	rire	r i r e	- - - - r i r e - -	8	65	AFTER	depoisde1	
16492	Guarani_Paraguay	AFTER	riré	riré	r i r é/e	- - - - r i r é/e - -	8	65	AFTER	depoisde1	
16825	Old_Guarani	AFTER	riré	riré	r i r é/e	- - - - r i r é/e - -	8	65	AFTER	depoisde1	
17399	Xeta	AFTER	ajre	ajre	ai r e	- - - - - ai r e - -	8	65	AFTER	depoisde1	
17631	Kaiowa	AFTER	riré	riré	r i r é/e	- - - - r i r é/e - -	8	65	AFTER	depoisde1	
17847	Tapiete	AFTER	hama / ma	hama	h a m a	h a m a -	10	66	AFTER	depoisde2	
17848	Tapiete	AFTER	hama / ma	ma	m a	- - m a -	10	66	AFTER	depoisde2	
18362	Omagua	AFTER	isakapɨrɨ / rasakapɨrɨ	isakapɨrɨ	i s a k a p ɨ r ɨ	- i s a k a p ɨ r ɨ	15	73	AFTER	depoisde	Woman's speech
18363	Omagua	AFTER	isakapɨrɨ / rasakapɨrɨ	rasakapɨrɨ	r a s a k a p ɨ r ɨ	r a s a k a p ɨ r ɨ	15	73	AFTER	depoisde	Man's speech
18642	Cocama_Cocamilla	AFTER	jantsui /jaepetsui / riantsui / raepetsui	jantsui	j a n ts ui	- j a n - ts ui -	9	68	AFTER	depoisde	Woman's speech
18643	Cocama_Cocamilla	AFTER	jantsui /jaepetsui / riantsui / raepetsui	jaepetsui	j ae p e ts ui	j ae p e ts ui	9	68	AFTER	depoisde	Woman's speech
18644	Cocama_Cocamilla	AFTER	jantsui,_jaepetsui / riantsui,_raepetsui	riantsui	r ia n ts ui	- r ia n - ts ui -	9	68	AFTER	depoisde	Man's speech
18645	Cocama_Cocamilla	AFTER	jantsui,_jaepetsui / riantsui,_raepetsui	_raepetsui	r ae p e ts ui	r ae p e ts ui	9	68	AFTER	depoisde	Man's speech
19481	Guayaki_Ache	AFTER	gobu	gobu	g o + b u	g o + b u	2013	280 281	AFTER _CONDITIONAL		
19585	Guaja	AFTER	nẽ	nẽ	n ẽ	n ẽ	8	334	AFTER		
20680	Aweti	AFTER	tiwo	tiwo	t i w o	t i w o	2855	599	AFTER		
20707	Cinta_Larga	AFTER	jappi	jappi	j a p p i	j a p p i	12	70	AFTER		
20762	Aweti	AFTER	antiwari	antiwari	a n t i w a r i	a n t i w a r i	2855	599	AFTER		
3	Karo_Arara	AGOUTI	wakãja	wakãja	w a k ã j a	w a k ã j a	821	86	AGOUTI	cutia2	
368	Purubora	AGOUTI	βakĩĩ	βakĩĩ	β a k ĩː	β a k ĩː - -	821	86	AGOUTI	cutia2	
625	Ntogapid_Itogapuk	AGOUTI	mãkaiã	mãkaiã	m ã k ai ã	m ã k ai - ã	821	86	AGOUTI	cutia2	
711	Ramarama	AGOUTI	mãkaiã	mãkaiã	m ã k ai ã	m ã k ai - ã	821	86	AGOUTI	cutia2	
810	Makurap	AGOUTI	mãkɨ̃ja	mãkɨ̃ja	m ã k ɨ̃ + j a	m ã k ɨ̃ + j a	821	86 150	AGOUTI TOOTH	cutia2	
1161	Wayoro	AGOUTI	ŋgʷakĩjã	ŋgʷakĩjã	ŋgʷ a k ĩ + j ã	ŋgʷ a k ĩ + j ã	874	86 150	AGOUTI TOOTH	cutia2	
1481	Tupari	AGOUTI	takamʔa	takamʔa	t a k a m ʔ a	t a k a - m - ʔ - a -	828	87	AGOUTI	cutia2	
1871	Akuntsu	AGOUTI	pakãja	pakãja	p a k ã + j a	p a k ã + j a	821	86 150	AGOUTI TOOTH	cutia2	
2252	Mekens_Sakurabiat	AGOUTI	mãkɨ̃ja	mãkɨ̃ja	m ã k ɨ̃ + j a	m ã k ɨ̃ + j a	821	86 150	AGOUTI TOOTH	cutia2	
2560	Cinta_Larga	AGOUTI	wakí	wakí	w a k í	w a k í - -	821	86	AGOUTI	cutia2	
2710	Gaviao_Ikoloehj	AGOUTI	βaakĩĩ	βaakĩĩ	β aː k ĩː	β aː k ĩː - -	821	86	AGOUTI	cutia2	
3392	Arua	AGOUTI	βakĩĩ	βakĩĩ	β a k ĩː	β a k ĩː - -	821	86	AGOUTI	cutia2	
3608	Matanau	AGOUTI	wakɨ̃	wakɨ̃	w a k ɨ̃	w a k ɨ̃ - -	821	86	AGOUTI	cutia2	
3717	Zoro	AGOUTI	βakĩĩ	βakĩĩ	β a k ĩː	β a k ĩː - -	821	86	AGOUTI	cutia2	
3893	Surui_Paiter	AGOUTI	wakĩĩ	wakĩĩ	w a k ĩː	w a k ĩː - - - - - - -	821	143	AGOUTI	cutia2	
4229	Karitiana	AGOUTI	mɨ̃no	mɨ̃no	m ɨ̃ n o	- m - ɨ̃ - n o - - - -	911	90	AGOUTI	cutia4	
4497	Arikem	AGOUTI	mundá	mundá	m u nd á	- m - u - nd á - - - -	21	143	AGOUTI	cutia4	
4690	Xipaya	AGOUTI	kuzi	kuzi	k u z i	- - k u - z i - - - -	21	143	AGOUTI	cutia1	
5022	Juruna_Yudja	AGOUTI	akulʒi	akulʒi	a k u l ʒ i	- a k u l ʒ i - - - -	21	143	AGOUTI	cutia1	
5354	Munduruku	AGOUTI	mədí	mədí	m ə d í	m ə d í	900	89	AGOUTI	cutia3	
5739	Kuruaya	AGOUTI	máli	máli	m á l i	m á l i	900	89	AGOUTI	cutia3	
6038	Satere_Mawe	AGOUTI	akuri	akuri	a k u r i	- a k u - r i - - - -	21	143	AGOUTI	cutia1	
6410	Aweti	AGOUTI	akuʐuʔjɨt	akuʐuʔjɨt	a k u ʐ u ʔ j ɨ t	- a k u - ʐ u ʔ j ɨ t	21	143	AGOUTI	cutia1	
6707	Parakana	AGOUTI	akoʃi	akoʃi	a k o ʃ i	- a k o - ʃ i - - - -	21	143	AGOUTI	cutia1	
7296	Surui_Aikewara	AGOUTI	akuti	akuti	a k u t i	- a k u - t i - - - -	21	143	AGOUTI	cutia1	
7630	Tapirape_Apyawa	AGOUTI	ãkoʃi	ãkoʃi	ã k o ʃ i	- ã k o - ʃ i - - - -	21	143	AGOUTI	cutia1	
7901	Tembe	AGOUTI	akuti	akuti	a k u t i	- a k u - t i - - - -	21	143	AGOUTI	cutia1	
8233	Guajajara	AGOUTI	akuʃi	akuʃi	a k u ʃ i	- a k u - ʃ i - - - -	21	143	AGOUTI	cutia1	
8569	Apiaka	AGOUTI	akuʃi	akuʃi	a k u ʃ i	- a k u - ʃ i - - - -	21	143	AGOUTI	cutia1	
8818	Parintintin	AGOUTI	akutia	akutia	a k u t ia	- a k u - t ia - - - -	21	143	AGOUTI	cutia1	
9184	Amondawa	AGOUTI	akotʃi	akotʃi	a k o tʃ i	- a k o - tʃ i - - - -	21	143	AGOUTI	cutia1	
9485	Tenharim	AGOUTI	akotihu	akotihu	a k o t i h u	- a k o - t i h - u -	21	143	AGOUTI	cutia1	
9811	Jiahoi	AGOUTI	akotihu	akotihu	a k o t i h u	- a k o - t i h - u -	21	143	AGOUTI	cutia1	
9950	Urueuwauwau	AGOUTI	akutia	akutia	a k u t ia	- a k u - t ia - - - -	21	143	AGOUTI	cutia1	
10300	Kayabi	AGOUTI	akutia	akutia	a k u t ia	- a k u - t ia - - - -	21	143	AGOUTI	cutia1	
10533	Arawete	AGOUTI	akuti	akuti	a k u t i	- a k u - t i - - - -	21	143	AGOUTI	cutia1	
10901	Guaja	AGOUTI	akʷiʃi	akʷiʃi	a kʷ i ʃ i	- a kʷ i - ʃ i - - - -	21	143	AGOUTI	cutia1	
11247	Emerillon_Teko	AGOUTI	akusi	akusi	a k u s i	- a k u - s i - - - -	21	143	AGOUTI	cutia1	
11618	Wayampi	AGOUTI	akusi	akusi	a k u s i	- a k u - s i - - - -	21	143	AGOUTI	cutia1	
12022	Zo_e	AGOUTI	kusi	kusi	k u s i	- - k u - s i - - - -	21	143	AGOUTI	cutia1	
12264	Ka_apor_Urubu	AGOUTI	akuʃi / akuti	akuʃi	a k u ʃ i	- a k u - ʃ i - - - -	21	143	AGOUTI	cutia1	
12265	Ka_apor_Urubu	AGOUTI	akuʃi / akuti	akuti	a k u t i	- a k u - t i - - - -	21	143	AGOUTI	cutia1	
12579	Anambe	AGOUTI	kararuhu	kararuhu	k a r a r u h u	k a r a r u h u	22	144	AGOUTI	cutia	
12854	Kamajura	AGOUTI	akutsi	akutsi	a k u ts i	- a k u - ts i - - - -	21	143	AGOUTI	cutia1	
13131	Asurini_do_Xingu	AGOUTI	merĩ	merĩ	m e r ĩ	- m - e - r ĩ - - - -	21	143	AGOUTI	cutia3	
13395	Ava_Canoeiro	AGOUTI	akuti	akuti	a k u t i	- a k u - t i - - - -	21	143	AGOUTI	cutia1	
13613	Tupinamba	AGOUTI	akuti	akuti	a k u t i	- a k u - t i - - - -	21	143	AGOUTI	cutia1	
14019	Nheengatu	AGOUTI	akuti	akuti	a k u t i	- a k u - t i - - - -	21	143	AGOUTI	cutia1	
14878	Guarayo	AGOUTI	akutʃi	akutʃi	a k u tʃ i	- a k u - tʃ i - - - -	21	143	AGOUTI	cutia1	
15185	Siriono	AGOUTI	itajku	itajku	i t a j k u	i t a j k u	23	145	AGOUTI	cutia5	
15513	Warazu_Pauserna	AGOUTI	akutsɨ	akutsɨ	a k u ts ɨ	- a k u - ts ɨ - - - -	21	143	AGOUTI	cutia1	
15758	Chiriguano	AGOUTI	akúti	akúti	a k ú t i	- a k ú - t i - - - -	21	143	AGOUTI	cutia1	
16027	Jora	AGOUTI	kuʃi	kuʃi	k u ʃ i	- - k u - ʃ i - - - -	21	143	AGOUTI	cutia	
16134	Mbya	AGOUTI	akuʃi	akuʃi	a k u ʃ i	- a k u - ʃ i - - - -	21	143	AGOUTI	cutia1	
16493	Guarani_Paraguay	AGOUTI	akuti	akuti	a k u t i	- a k u - t i - - - -	21	143	AGOUTI	cutia1	
16826	Old_Guarani	AGOUTI	akuti	akuti	a k u t i	- a k u - t i - - - -	21	143	AGOUTI	cutia1	
17400	Xeta	AGOUTI	tʃeami	tʃeami	tʃ ea m i	tʃ ea m i	24	146	AGOUTI	cutia	
17632	Kaiowa	AGOUTI	akutɨ	akutɨ	a k u t ɨ	- a k u - t ɨ - - - -	21	143	AGOUTI	cutia1	
18364	Omagua	AGOUTI	akuti	akuti	a k u t i	- a k u - t i - - - -	21	143	AGOUTI	cutia1	
18646	Cocama_Cocamilla	AGOUTI	akuti	akuti	a k u t i	- a k u - t i - - - -	21	143	AGOUTI	cutia1	
19330	Asurini_do_Tocantins	AGOUTI	akosí	akosí	a k o s í	a k o s í	21	143	AGOUTI		
4	Karo_Arara	ALL	tamək / jakatɨɨm	tamək	t a m ə k	t a m ə k -	27	210	ALL	todostudo0a	
5	Karo_Arara	ALL	tamək / jakatɨɨm	jakatɨɨm	j a k a t ɨː m	- j a k a t ɨː m	26	206	ALL	todostudo0a	
369	Purubora	ALL	wuijaba	wuijaba	w ui j a b a	w ui j a b a - - - -	25	205	ALL	todostudo9	
