Language	Concept	Form	Tokens	SimpleCognate	PartialCognate	Morphemes	Notes
Tapirape_Apyawa	AFTER	ire	i r e	8.0	65	AFTER	
Tapirape_Apyawa	AFTER	rewe	r e w e	8.0	65	AFTER	
Tembe	AFTER	re	r e	8.0	65	AFTER	
Tembe	AFTER	rire	r i r e	8.0	65	AFTER	
Guajajara	AFTER	ire	i r e	8.0	65	AFTER	
Apiaka	AFTER	re	r e	8.0	65	AFTER	
Parintintin	AFTER	aẽre	a ẽ r e	8.0	65	AFTER	
Parintintin	AFTER	re	r e	8.0	65	AFTER	
Amondawa	AFTER	aẽre	a ẽ r e	8.0	65	AFTER	
Amondawa	AFTER	re	r e	8.0	65	AFTER	
Tenharim	AFTER	aẽre	a ẽ r e	8.0	65	AFTER	
Tenharim	AFTER	re	r e	8.0	65	AFTER	
Urueuwauwau	AFTER	aẽre	a ẽ r e	8.0	65	AFTER	
Urueuwauwau	AFTER	re	r e	8.0	65	AFTER	
Kayabi	AFTER	ewiri	e w i r i	8.0	65	AFTER	
Kayabi	AFTER	ire	i r e	8.0	65	AFTER	
Arawete	AFTER	riri	r i r i	8.0	65	AFTER	
Emerillon_Teko	AFTER	kor	k o r	14.0	69	AFTER	
Emerillon_Teko	AFTER	kobete	k o b e t e	9.0	68	AFTER	
Wayampi	AFTER	ajawire	a j a w i r e	8.0	65	AFTER	
Wayampi	AFTER	lile	l i l e	8.0	65	AFTER	
Zo_e	AFTER	kɨpot	k ɨ p o t	9.0	68	AFTER	
Ka_apor_Urubu	AFTER	arahã	a r a h ã	8.0	65	AFTER	
Ka_apor_Urubu	AFTER	aja	a j a	8.0	65	AFTER	
Ka_apor_Urubu	AFTER	ajameʔẽ	a j a  m e ʔ ẽ	55.0	65 16	_? GIVE	
Kamajura	AFTER	riré	r i r é/e	8.0	65	AFTER	
Asurini_do_Xingu	AFTER	arire	a r i r e	8.0	65	AFTER	
Tupinamba	AFTER	riré	r i r é/e	8.0	65	AFTER	
Tupinamba	AFTER	rojré	r oi r é/e	8.0	65	AFTER	
Tupinamba	AFTER	re	r e	8.0	65	AFTER	
Nheengatu	AFTER	rie	r ie	8.0	65	AFTER	
Nheengatu	AFTER	arirewã	a r i r e w ã	8.0	65	AFTER	
Yuki	AFTER	dérekja	d é r e k j a	19.0	75	AFTER	
Guarayo	AFTER	re	r e	8.0	65	AFTER	
Siriono	AFTER	akere	a k e r e	8.0	65	AFTER	
Siriono	AFTER	ande	a nd/ⁿd e	11.0	71	AFTER	
Warazu_Pauserna	AFTER	íre	í/i r e	8.0	65	AFTER	
Chiriguano	AFTER	hãe-ma	h ãe + m a	10.0	66 67	AFTER _after	
Chiriguano	AFTER	ha-woi	h a + w oi	10.0	66 74	AFTER _after	
Chiriguano	AFTER	hoko-gwi	h o k o + gw/gʷ i	10.0	66 69	AFTER _after	
Mbya	AFTER	rire	r i r e	8.0	65	AFTER	
Guarani_Paraguay	AFTER	riré	r i r é/e	8.0	65	AFTER	
Old_Guarani	AFTER	riré	r i r é/e	8.0	65	AFTER	
Xeta	AFTER	ajre	ai r e	8.0	65	AFTER	
Kaiowa	AFTER	riré	r i r é/e	8.0	65	AFTER	
Tapiete	AFTER	hama	h a m a	10.0	66	AFTER	
Tapiete	AFTER	ma	m a	10.0	66	AFTER	
Omagua	AFTER	isakapɨrɨ	i s a k a p ɨ r ɨ	15.0	73	AFTER	Woman's speech
Omagua	AFTER	rasakapɨrɨ	r a s a k a p ɨ r ɨ	15.0	73	AFTER	Man's speech
Cocama_Cocamilla	AFTER	jantsui	j a n ts ui	9.0	68	AFTER	Woman's speech
Cocama_Cocamilla	AFTER	jaepetsui	j ae p e ts ui	9.0	68	AFTER	Woman's speech
Cocama_Cocamilla	AFTER	riantsui	r ia n ts ui	9.0	68	AFTER	Man's speech
Cocama_Cocamilla	AFTER	_raepetsui	r ae p e ts ui	9.0	68	AFTER	Man's speech
Guayaki_Ache	AFTER	gobu	g o + b u	2013.0	280 281	AFTER _CONDITIONAL	
Guaja	AFTER	nẽ	n ẽ	8.0	334	AFTER	
Aweti	AFTER	tiwo	t i w o	2855.0	599	AFTER	
Cinta_Larga	AFTER	jappi	j a p p i	12.0	70	AFTER	
Aweti	AFTER	antiwari	a n t i w a r i	2855.0	599	AFTER	
Karo_Arara	AGOUTI	wakãja	w a k ã j a	821.0	86	AGOUTI	
Purubora	AGOUTI	βakĩĩ	β a k ĩː	821.0	86	AGOUTI	
Ntogapid_Itogapuk	AGOUTI	mãkaiã	m ã k ai ã	821.0	86	AGOUTI	
Ramarama	AGOUTI	mãkaiã	m ã k ai ã	821.0	86	AGOUTI	
Makurap	AGOUTI	mãkɨ̃ja	m ã k ɨ̃ + j a	821.0	86 150	AGOUTI TOOTH	
Wayoro	AGOUTI	ŋgʷakĩjã	ŋgʷ a k ĩ + j ã	874.0	86 150	AGOUTI TOOTH	
Tupari	AGOUTI	takamʔa	t a k a m ʔ a	828.0	87	AGOUTI	
Akuntsu	AGOUTI	pakãja	p a k ã + j a	821.0	86 150	AGOUTI TOOTH	
Mekens_Sakurabiat	AGOUTI	mãkɨ̃ja	m ã k ɨ̃ + j a	821.0	86 150	AGOUTI TOOTH	
Cinta_Larga	AGOUTI	wakí	w a k í	821.0	86	AGOUTI	
Gaviao_Ikoloehj	AGOUTI	βaakĩĩ	β aː k ĩː	821.0	86	AGOUTI	
Arua	AGOUTI	βakĩĩ	β a k ĩː	821.0	86	AGOUTI	
Matanau	AGOUTI	wakɨ̃	w a k ɨ̃	821.0	86	AGOUTI	
Zoro	AGOUTI	βakĩĩ	β a k ĩː	821.0	86	AGOUTI	
Surui_Paiter	AGOUTI	wakĩĩ	w a k ĩː	821.0	143	AGOUTI	
Karitiana	AGOUTI	mɨ̃no	m ɨ̃ n o	911.0	90	AGOUTI	
Arikem	AGOUTI	mundá	m u nd á	21.0	143	AGOUTI	
Xipaya	AGOUTI	kuzi	k u z i	21.0	143	AGOUTI	
Juruna_Yudja	AGOUTI	akulʒi	a k u l ʒ i	21.0	143	AGOUTI	
Munduruku	AGOUTI	mədí	m ə d í	900.0	89	AGOUTI	
Kuruaya	AGOUTI	máli	m á l i	900.0	89	AGOUTI	
Satere_Mawe	AGOUTI	akuri	a k u r i	21.0	143	AGOUTI	
Aweti	AGOUTI	akuʐuʔjɨt	a k u ʐ u ʔ j ɨ t	21.0	143	AGOUTI	
Parakana	AGOUTI	akoʃi	a k o ʃ i	21.0	143	AGOUTI	
Surui_Aikewara	AGOUTI	akuti	a k u t i	21.0	143	AGOUTI	
Tapirape_Apyawa	AGOUTI	ãkoʃi	ã k o ʃ i	21.0	143	AGOUTI	
Tembe	AGOUTI	akuti	a k u t i	21.0	143	AGOUTI	
Guajajara	AGOUTI	akuʃi	a k u ʃ i	21.0	143	AGOUTI	
Apiaka	AGOUTI	akuʃi	a k u ʃ i	21.0	143	AGOUTI	
Parintintin	AGOUTI	akutia	a k u t ia	21.0	143	AGOUTI	
Amondawa	AGOUTI	akotʃi	a k o tʃ i	21.0	143	AGOUTI	
Tenharim	AGOUTI	akotihu	a k o t i h u	21.0	143	AGOUTI	
Jiahoi	AGOUTI	akotihu	a k o t i h u	21.0	143	AGOUTI	
Urueuwauwau	AGOUTI	akutia	a k u t ia	21.0	143	AGOUTI	
Kayabi	AGOUTI	akutia	a k u t ia	21.0	143	AGOUTI	
Arawete	AGOUTI	akuti	a k u t i	21.0	143	AGOUTI	
Guaja	AGOUTI	akʷiʃi	a kʷ i ʃ i	21.0	143	AGOUTI	
Emerillon_Teko	AGOUTI	akusi	a k u s i	21.0	143	AGOUTI	
Wayampi	AGOUTI	akusi	a k u s i	21.0	143	AGOUTI	
Zo_e	AGOUTI	kusi	k u s i	21.0	143	AGOUTI	
Ka_apor_Urubu	AGOUTI	akuʃi	a k u ʃ i	21.0	143	AGOUTI	
Ka_apor_Urubu	AGOUTI	akuti	a k u t i	21.0	143	AGOUTI	
Anambe	AGOUTI	kararuhu	k a r a r u h u	22.0	144	AGOUTI	
Kamajura	AGOUTI	akutsi	a k u ts i	21.0	143	AGOUTI	
Asurini_do_Xingu	AGOUTI	merĩ	m e r ĩ	21.0	143	AGOUTI	
Ava_Canoeiro	AGOUTI	akuti	a k u t i	21.0	143	AGOUTI	
Tupinamba	AGOUTI	akuti	a k u t i	21.0	143	AGOUTI	
Nheengatu	AGOUTI	akuti	a k u t i	21.0	143	AGOUTI	
Guarayo	AGOUTI	akutʃi	a k u tʃ i	21.0	143	AGOUTI	
Siriono	AGOUTI	itajku	i t a j k u	23.0	145	AGOUTI	
Warazu_Pauserna	AGOUTI	akutsɨ	a k u ts ɨ	21.0	143	AGOUTI	
Chiriguano	AGOUTI	akúti	a k ú t i	21.0	143	AGOUTI	
Jora	AGOUTI	kuʃi	k u ʃ i	21.0	143	AGOUTI	
Mbya	AGOUTI	akuʃi	a k u ʃ i	21.0	143	AGOUTI	
Guarani_Paraguay	AGOUTI	akuti	a k u t i	21.0	143	AGOUTI	
Old_Guarani	AGOUTI	akuti	a k u t i	21.0	143	AGOUTI	
Xeta	AGOUTI	tʃeami	tʃ ea m i	24.0	146	AGOUTI	
Kaiowa	AGOUTI	akutɨ	a k u t ɨ	21.0	143	AGOUTI	
Omagua	AGOUTI	akuti	a k u t i	21.0	143	AGOUTI	
Cocama_Cocamilla	AGOUTI	akuti	a k u t i	21.0	143	AGOUTI	
Asurini_do_Tocantins	AGOUTI	akosí	a k o s í	21.0	143	AGOUTI	
Karo_Arara	ALL	tamək	t a m ə k	27.0	210	ALL	
Karo_Arara	ALL	jakatɨɨm	j a k a t ɨː m	26.0	206	ALL	
Purubora	ALL	wuijaba	w ui j a b a	25.0	205	ALL	
Makurap	ALL	βiibmõ	β iː b m õ	25.0	205	ALL	
Makurap	ALL	ŋitoɲə̃ʔ	ŋ i t o ɲ ə̃ ʔ	36.0	215	ALL	Also means 'well'
Wayoro	ALL	ndege	nd e g e	27.0	210	ALL	
Tupari	ALL	irote	i r o t e	34.0	213	ALL	
Akuntsu	ALL	õ	õ	29.0	204	ALL	
Mekens_Sakurabiat	ALL	paeseet	p ae s eː t	26.0	206	ALL	
Gaviao_Ikoloehj	ALL	kɨrɨjãã	k ɨ r ɨ j ãː	31.0	208	ALL	
Gaviao_Ikoloehj	ALL	βèréβ	β è r é β	952.0	94	ALL	
Monde	ALL	sopoj	s o p o j	936.0	93	ALL	
Arua	ALL	βerep	β e r e p	952.0	94	ALL	
Zoro	ALL	sopop	s o p o p	25.0	205	ALL	
Surui_Paiter	ALL	bagater	b a g a t e r	26.0	206	ALL	
Xipaya	ALL	kiwi	k i w i	925.0	92	ALL	
Juruna_Yudja	ALL	bitehu	b i t e h u	32.0	209	ALL	
Munduruku	ALL	soat	s oa t	26.0	206	ALL	
Kuruaya	ALL	poam	p oa m	25.0	205	ALL	
Satere_Mawe	ALL	torania	t o r a n ia	33.0	211	ALL	
Aweti	ALL	momati	m o m a t i	30.0	207	ALL	
Parakana	ALL	pam	p a m	25.0	205	ALL	
Asurini_do_Tocantins	ALL	pap	p a p	25.0	205	ALL	
Surui_Aikewara	ALL	pam	p a m	25.0	205	ALL	
Tapirape_Apyawa	ALL	pãw	p ã w	25.0	205	ALL	
Tembe	ALL	paw	p a w	25.0	205	ALL	
Guajajara	ALL	paw	p a w	25.0	205	ALL	
Apiaka	ALL	pawẽ	p a w ẽ	25.0	205	ALL	
Parintintin	ALL	paβ	p a β	25.0	205	ALL	
Amondawa	ALL	paβ	p a β	25.0	205	ALL	
Tenharim	ALL	paβ	p a β	25.0	205	ALL	
Urueuwauwau	ALL	paβ	p a β	25.0	205	ALL	
Kayabi	ALL	pap	p a p	25.0	205	ALL	
Arawete	ALL	pa	p a	25.0	205	ALL	
Guaja	ALL	pa	p a	25.0	205	ALL	
Amanaye	ALL	pawe	p a w e	25.0	205	ALL	
Emerillon_Teko	ALL	pa	p a	25.0	205	ALL	
Wayampi	ALL	pa	p a	25.0	205	ALL	
Wayampi	ALL	pilu	p i l u	25.0	205	ALL	
Zo_e	ALL	kã	k ã	27.0	210	ALL	
Ka_apor_Urubu	ALL	upa	u p a	25.0	205	ALL	
Ka_apor_Urubu	ALL	joho	j o h o	28.0	212	ALL	
Kamajura	ALL	pap	p a p	25.0	205	ALL	
Asurini_do_Xingu	ALL	pap	p a p	25.0	205	ALL	
Ava_Canoeiro	ALL	upakatu	u p a + k a t u	25.0	205 91	ALL _INTENSIFIER	
Tupinamba	ALL	paβ	p a β	25.0	205	ALL	
Nheengatu	ALL	pa	p a	25.0	205	ALL	
Lingua_Geral_Paulista_Tupi_austral	ALL	opabiɲe	o p a b i ɲ e	25.0	205	ALL	
Yuki	ALL	χa	χ a	27.0	210	ALL	
Guarayo	ALL	pãvã	p ã v ã	25.0	205	ALL	
Siriono	ALL	ha	h a	25.0	205	ALL	
Warazu_Pauserna	ALL	ma	m a	35.0	214	ALL	
Chiriguano	ALL	pãwe	p ã w e	25.0	205	ALL	
Mbya	ALL	pa	p a	25.0	205	ALL	
Guarani_Paraguay	ALL	opa	o p a	25.0	205	ALL	
Old_Guarani	ALL	opa	o p a	25.0	205	ALL	
Guayaki_Ache	ALL	wɨwɨ	w ɨ w ɨ	925.0	92	ALL	
Xeta	ALL	po	p o	25.0	205	ALL	
Kaiowa	ALL	mba	mb a	25.0	205	ALL	
Tapiete	ALL	ópa	ó p a	25.0	205	ALL	
Chiripa_Nandeva_Ava_Guarani	ALL	pãβẽ	p ã β ẽ	25.0	205	ALL	
Omagua	ALL	upa	u p a	25.0	205	ALL	
Cocama_Cocamilla	ALL	upi	u p i	25.0	205	ALL	
Karitiana	ALL	akataɨɨm	a k a + t aɨ ɨ m	26.0	206	COPULA ASPECT	
Karitiana	ALL	motun	m o t u n	30.0	207	ALL	
Karo_Arara	ANACONDA	mãjgãratsa	m ã j g ã r a ts a	46.0	301	ANACONDA	
Purubora	ANACONDA	tahani	t a h a n i	47.0	299	ANACONDA	
Makurap	ANACONDA	ɨdnajã	ɨ d n a j ã	58.0	305	ANACONDA	
Wayoro	ANACONDA	tigaptarap	t i g a p t a r a p	59.0	307	ANACONDA	
Tupari	ANACONDA	amsiamʔe	a m s ia m ʔ e	50.0	296	ANACONDA	
Akuntsu	ANACONDA	kʷatin_atʃo	kʷ a t i n + a tʃ o	48.0	294 299	SNAKE _BIG	
Mekens_Sakurabiat	ANACONDA	kʷatsopoot	kʷ a ts o p oː t	53.0	306	ANACONDA	
Gaviao_Ikoloehj	ANACONDA	iimadĩ_ĩt	iː m a d ĩ + ĩ t	48.0	295 300	ANACONDA _anaconda	
Gaviao_Ikoloehj	ANACONDA	badpuj	b a d + p u j	47.0	296 27	SNAKE _BIG	
Monde	ANACONDA	sobo_poj	s o b o + p o j	49.0	306 27	_anaconda ANACONDA	
Surui_Paiter	ANACONDA	loboti	l o b o t i	48.0	295	ANACONDA	
Karitiana	ANACONDA	sõɲmap	s õ ɲ m a p	56.0	303	ANACONDA	
Arikem	ANACONDA	sad_maawa	s a d + m aː w a	56.0	303	ANACONDA ?	
Xipaya	ANACONDA	adʒa	a dʒ a	48.0	295	ANACONDA	
Juruna_Yudja	ANACONDA	adʒa	a dʒ a	48.0	295	ANACONDA	
Juruna_Yudja	ANACONDA	tuwĩ	t u w ĩ	47.0	299	ANACONDA	
Munduruku	ANACONDA	mərekobə	m ə r e + k o b ə	52.0	297	ANACONDA	
Kuruaya	ANACONDA	numãbɨbɨ	n u m ã b ɨ b ɨ	57.0	304	ANACONDA	
Satere_Mawe	ANACONDA	sukuriu	s u k u r iu	46.0	301	ANACONDA	
Aweti	ANACONDA	twajwatu	t w ai + w a t u	47.0	299	ANACONDA _BIG	
Parakana	ANACONDA	maʃoho	m a ʃ + o h o	47.0	296 299	ANACONDA	
Surui_Aikewara	ANACONDA	kurisu	k u r i s u	46.0	301	ANACONDA	
Tapirape_Apyawa	ANACONDA	ʃokori	ʃ o k o r i	46.0	301	ANACONDA	
Tembe	ANACONDA	hukuri	h u k u r i	46.0	301	ANACONDA	
Tembe	ANACONDA	mozuhu	m o z + u h u	47.0	296 299	SNAKE _BIG	
Guajajara	ANACONDA	mozuhu	m o z + u h u	47.0	296 299	SNAKE _BIG	
Apiaka	ANACONDA	masojga	m a s o j g a	50.0	296	ANACONDA	
Tenharim	ANACONDA	mbojuhua	mb o j + u h ua	47.0	296 299	SNAKE _BIG	
Arawete	ANACONDA	urukuku	u r u k u k u	52.0	297	ANACONDA	
Guaja	ANACONDA	tsikurihu	ts i k u r i h u	46.0	301	ANACONDA	
Emerillon_Teko	ANACONDA	boʤuhu	b o dʒ + u h u	47.0	296 299	SNAKE _BIG	
Wayampi	ANACONDA	moyu	m o j + u	47.0	296 299	SNAKE _BIG	
Kamajura	ANACONDA	mojũ	m o j + ũ	47.0	296 299	SNAKE _BIG	
Tupinamba	ANACONDA	sukuriju	s u k u r i j u	46.0	301	ANACONDA	
Nheengatu	ANACONDA	sukuriu	s u k u r iu	46.0	301	ANACONDA	
Siriono	ANACONDA	mbeɨ_tʃusu	mb eɨ + tʃ u s u	47.0	296 299	SNAKE _BIG	
Jora	ANACONDA	mbej_tʃusu	mb e j + tʃ u s u	47.0	296 299	SNAKE _BIG	
Mbya	ANACONDA	kuriju	k u r i j u	46.0	301	ANACONDA	
Guarani_Paraguay	ANACONDA	kuriju	k u r i j u	46.0	301	ANACONDA	
Old_Guarani	ANACONDA	mboj_jusu	mb o j + j u s u	47.0	296 299	SNAKE _BIG	
Munduruku	ANACONDA	pəjʃiri	p ə j + ʃ i r i	47.0	296	SNAKE BIG/COLLECTIVE	
Munduruku	ANACONDA	darə̃ŋrə̃ŋ	d a r ə̃ ŋ r ə̃ ŋ	2469.0	363	ANACONDA	Obsolete
Cocama_Cocamilla	ANACONDA	ɨwɨrati tsukuri	ɨ w ɨ r a t i + ts u k u r i	46.0	362 301	_FOREST ANACONDA	
Karo_Arara	ANATTO	koko	k o k o	62.0	342	ANATTO	
Ramarama	ANATTO	kokó	k o k ó	62.0	342	ANATTO	
Makurap	ANATTO	iko	i k o	60.0	343	ANATTO	
Wayoro	ANATTO	ŋgopŋgap	ŋg o p ŋg a p	62.0	342	ANATTO	
Tupari	ANATTO	tope	t o p e	61.0	344	ANATTO	
Akuntsu	ANATTO	kɨpkap	k ɨ p k a p	62.0	342	ANATTO	
Mekens_Sakurabiat	ANATTO	kobakaap	k o b a k aː p	62.0	342	ANATTO	
Cinta_Larga	ANATTO	nduap	nd/ⁿd ua p	61.0	344	ANATTO	
Gaviao_Ikoloehj	ANATTO	dóʔà	d ó ʔ à	61.0	344	ANATTO	
Gaviao_Ikoloehj	ANATTO	dookaap	d oː k aː p	61.0	344	ANATTO	
Monde	ANATTO	doʔu	d o ʔ u	61.0	344	ANATTO	
Arua	ANATTO	doʔa	d o ʔ a	61.0	344	ANATTO	
Zoro	ANATTO	dookaap	d oː k aː p	61.0	344	ANATTO	
Surui_Paiter	ANATTO	nooa	n oː a	64.0	346	ANATTO	
Karitiana	ANATTO	ekɨ	e k ɨ	60.0	343	ANATTO	
Arikem	ANATTO	eku	e k u	60.0	343	ANATTO	
Xipaya	ANATTO	makapa	m a k a p a	61.0	344	ANATTO	
Juruna_Yudja	ANATTO	wãkaha	w ã k a h a	61.0	344	ANATTO	
Munduruku	ANATTO	tʃoko	tʃ o k o	61.0	344	ANATTO	
Kuruaya	ANATTO	tʃoko	tʃ o k o	61.0	344	ANATTO	
Satere_Mawe	ANATTO	waʔakap	w a ʔ a k a p	61.0	344	ANATTO	
Aweti	ANATTO	jukʷaŋɨt	j u kʷ a ŋ ɨ t	63.0	345	ANATTO	
Parakana	ANATTO	roko	r o k o	60.0	343	ANATTO	
Tapirape_Apyawa	ANATTO	oroko	o r o k o	60.0	343	ANATTO	
Tembe	ANATTO	uruku	u r u k u	60.0	343	ANATTO	
Guajajara	ANATTO	uruku	u r u k u	60.0	343	ANATTO	
Parintintin	ANATTO	uruku	u r u k u	60.0	343	ANATTO	
Amondawa	ANATTO	uruku	u r u k u	60.0	343	ANATTO	
Tenharim	ANATTO	uruku	u r u k u	60.0	343	ANATTO	
